Date,Gasoline_Consumption(Millions of Gallons),Z_Consumption
1995-01-01,9326.478,-2.38995347681846
1995-02-01,8797.362,-3.0482307177371646
1995-03-01,10139.346,-1.378658214019555
1995-04-01,9640.68,-1.9990523782859277
1995-05-01,10277.652,-1.2065906672386928
1995-06-01,10357.62,-1.1071018700717439
1995-07-01,10269.588,-1.2166231509866208
1995-08-01,10659.642,-0.7313540022001461
1995-09-01,9810.36,-1.7879521994232852
1995-10-01,10130.694,-1.389422233040769
1995-11-01,9910.95,-1.662807415171793
1995-12-01,10079.58,-1.4530135492971634
1996-01-01,9466.716,-2.2154823141396562
1996-02-01,9255.834,-2.477842214651865
1996-03-01,10145.016,-1.3716041238842933
1996-04-01,9920.064,-1.6514686184358547
1996-05-01,10508.358,-0.9195675775128281
1996-06-01,10190.922,-1.3144921200484339
1996-07-01,10631.208,-0.766728957915494
1996-08-01,10863.006,-0.4783473026820989
1996-09-01,9654.414,-1.9819658044027382
1996-10-01,10537.674,-0.883095318887549
1996-11-01,9972.438,-1.5863097265938464
1996-12-01,10148.418,-1.3673716698031364
1997-01-01,9506.28,-2.1662604407513864
1997-02-01,9017.022,-2.774950040645178
1997-03-01,10150.182,-1.3651770639832759
1997-04-01,10160.388,-1.352479701739805
1997-05-01,10596.936,-0.8093670138441871
1997-06-01,10442.712,-1.0012382655233016
1997-07-01,11061.162,-0.2318199155845866
1997-08-01,10719.534,-0.6568419093639761
1997-09-01,10108.392,-1.4171683209061308
1997-10-01,10599.54,-0.8061273576339173
1997-11-01,10035.438,-1.5079309473131624
1997-12-01,10500.63,-0.9291820411045932
1998-01-01,9918.048,-1.6539767393728362
1998-02-01,9068.136,-2.7113587243887833
1998-03-01,10420.578,-1.028775343310582
1998-04-01,10473.12,-0.96340744139049
1998-05-01,10779.3,-0.5824865740863678
1998-06-01,10735.704,-0.6367246893486005
1998-07-01,11301.822,0.0675870212676259
1998-08-01,11156.166,-0.11362471642931646
1998-09-01,10470.81,-0.9662813299641166
1998-10-01,10908.408,-0.42186232908048593
1998-11-01,10290.042,-1.1911761739801592
1998-12-01,11002.698,-0.3045554227570612
1999-01-01,10027.08,-1.5183291986977334
1999-02-01,9444.456,-2.2431761494854983
1999-03-01,10582.194,-0.8277076481958674
1999-04-01,10716.972,-0.6600293130547239
1999-05-01,10962.336,-0.3547700940162206
1999-06-01,11196.318,-0.06367130776776049
1999-07-01,11641.938,0.4907279243442783
1999-08-01,11170.488,-0.09580660727284082
1999-09-01,10464.3,-0.9743804704897876
1999-10-01,11121.054,-0.15730782274841662
1999-11-01,10382.526,-1.0761161259961145
1999-12-01,11534.46,0.35701372689143024
2000-01-01,9963.87,-1.5969692405760185
2000-02-01,10098.438,-1.4295521680324785
2000-03-01,10813.488,-0.5399530231967166
2000-04-01,10552.332,-0.8648591895749105
2000-05-01,11276.244,0.035765236879668816
2000-06-01,11118.87,-0.16002495376347942
2000-07-01,11252.052,0.005667785635885042
2000-08-01,11614.68,0.4568160391755026
2000-09-01,10732.092,-0.6412184060273587
2000-10-01,10958.556,-0.35947282077306025
2000-11-01,10563.756,-0.8506465042653477
2000-12-01,11288.13,0.05055269990395612
2001-01-01,10545.234,-0.8736898653738675
2001-02-01,9682.596,-1.9469043638045136
2001-03-01,11108.832,-0.172513305928869
2001-04-01,10804.584,-0.5510305573350515
2001-05-01,11335.044,0.10891876420830626
2001-06-01,10949.148,-0.37117738514564397
2001-07-01,11747.988,0.6226655361334287
2001-08-01,11657.184,0.5096955889302028
2001-09-01,10782.156,-0.5789334027589749
2001-10-01,11268.348,0.0259417632098223
2001-11-01,10932.768,-0.3915558677586208
2001-12-01,11177.838,-0.08666241635676057
2002-01-01,10711.638,-0.6666653830338204
2002-02-01,10121.622,-1.4007087772571876
2002-03-01,11269.44,0.027300328717354844
2002-04-01,11044.782,-0.2521983981975657
2002-05-01,11820.186,0.7124876171890929
2002-06-01,11516.568,0.33475415357571625
2002-07-01,11904.48,0.8173584238666478
2002-08-01,12124.896,1.091579646310002
2002-09-01,10945.032,-0.3762981320586486
2002-10-01,11475.492,0.2836511894847114
2002-11-01,11124.036,-0.15359789386246428
2002-12-01,11579.19,0.41266266018071757
2003-01-01,10954.398,-0.36464582020558695
2003-02-01,10025.946,-1.5197400167247856
2003-03-01,11199.384,-0.05985687384276632
2003-04-01,11135.922,-0.1388104308381747
2003-05-01,11772.348,0.6529719974552939
2003-06-01,11554.41,0.38183367366364773
2003-07-01,11967.564,0.8958417081863737
2003-08-01,12253.71,1.2518381236792386
2003-09-01,11246.55,-0.0011772944212951962
2003-10-01,11858.112,0.759671642316064
2003-11-01,11271.372,0.029703944615294423
2003-12-01,11732.238,0.6030708413132577
2004-01-01,11333.91,0.10750794618125394
2004-02-01,10764.096,-0.6014019861527725
