Year,Car,Car SUV,Pickup truck,Van,Truck SUV,Z_fueleconomy
1995-01-01,23.44,17.81,16.89,18.08,16.0,-1.128935022292614
1996-01-01,23.33,18.43,17.15,18.34,16.23,-0.9973321684816844
1997-01-01,23.37,19.23,16.84,18.18,16.13,-1.0783185400576407
1998-01-01,23.37,18.24,17.0,18.7,16.16,-0.815112832435783
1999-01-01,23.0,18.51,16.29,18.28,16.07,-1.0277020578226672
2000-01-01,22.91,17.89,16.65,18.61,16.01,-0.8606676664472583
2001-01-01,23.05,18.83,15.95,18.04,16.41,-1.1491816151866028
2002-01-01,23.08,19.3,15.75,18.7,16.31,-0.815112832435783
2003-01-01,23.28,19.91,16.08,18.98,16.42,-0.673386682177859
2004-01-01,23.14,19.97,15.74,19.16,16.47,-0.5822770141549083
2005-01-01,23.49,20.22,15.85,19.3,16.73,-0.5114139390259463
2006-01-01,23.3,20.45,16.14,19.53,17.16,-0.3949960298855089
2007-01-01,24.11,20.64,16.17,19.5,17.68,-0.41018097455600133
2008-01-01,24.27,21.19,16.48,19.82,18.19,-0.24820823140408863
2009-01-01,25.34,22.04,16.9,20.07,19.28,-0.12166702581665696
2010-01-01,26.16,23.03,16.85,20.12,19.68,-0.09635878469917027
2011-01-01,25.82,23.51,17.24,20.95,19.82,0.32375801785110203
2012-01-01,27.6,23.29,17.21,21.27,20.01,0.4857307610030147
2013-01-01,28.36,24.34,17.47,21.06,20.83,0.3794361483095717
2014-01-01,28.39,24.44,18.04,21.27,21.59,0.4857307610030147
2015-01-01,29.01,25.14,18.81,21.78,21.94,0.7438748204013761
2016-01-01,29.21,26.21,18.92,21.66,22.21,0.6831350417194084
2017-01-01,30.18,26.14,18.92,22.23,22.34,0.9716489904587527
2018-01-01,30.76,27.33,19.11,22.76,23.13,1.2399163463041085
2019-01-01,30.88,27.49,19.03,22.43,23.48,1.0728819549286976
2020-01-01,31.73,28.38,19.19,23.35,23.75,1.5385535914904471
2021-01-01,31.73,30.5,19.4,26.21,24.0,2.986184983410665
