Date,GasolinePrices,DieselPrices,GasolinePrices_Adjusted,DieselPrices_Adjusted
1995-01-01,1.13,1.098,2.0961161676646705,2.036757125748503
1995-02-01,1.12,1.088,2.069305765407555,2.0101827435387674
1995-03-01,1.119,1.088,2.06063036988111,2.0035440951122854
1995-04-01,1.157,1.104,2.1235939038841343,2.0263160500329165
1995-05-01,1.225,1.126,2.243971419185283,2.0626218922470434
1995-06-01,1.239,1.12,2.2651519868852463,2.047595016393443
1995-07-01,1.201,1.1,2.1956800131147545,2.0110308196721314
1995-08-01,1.17,1.105,2.133409679529104,2.014886919555265
1995-09-01,1.158,1.119,2.1073937075718017,2.036419308093995
1995-10-01,1.134,1.115,2.057003695510735,2.0225389069616138
1995-11-01,1.109,1.12,2.0129649609375004,2.0329312500000003
1995-12-01,1.118,1.13,2.030623035830619,2.052418631921824
1996-01-01,1.137,1.145,2.0530950388601035,2.067540738341969
1996-02-01,1.136,1.145,2.0446679922530664,2.0608669464170433
1996-03-01,1.183,1.183,2.118322196531792,2.118322196531792
1996-04-01,1.275,1.275,2.274296545105566,2.274296545105566
1996-05-01,1.324,1.273,2.3571765517241383,2.2663789655172413
1996-06-01,1.3,1.201,2.3129712827058078,2.1368296234843656
1996-07-01,1.272,1.176,2.258828942675159,2.0883512866242038
1996-08-01,1.251,1.201,2.2173000762873487,2.1286789701207884
1996-09-01,1.247,1.265,2.2032071863117872,2.2350096958174905
1996-10-01,1.249,1.323,2.1997706759317754,2.330101364497789
1996-11-01,1.278,1.323,2.246588625472888,2.325693858764187
1996-12-01,1.282,1.309,2.253620201765448,2.301083341740227
1997-01-01,1.283,1.291,2.2482901697045885,2.262309126335638
1997-02-01,1.276,1.28,2.229018496240602,2.2360060150375944
1997-03-01,1.251,1.229,2.1798831375,2.1415478625000004
1997-04-01,1.244,1.212,2.164979325842697,2.109288539325843
1997-05-01,1.245,1.196,2.16807301686446,2.0827432354778264
1997-06-01,1.242,1.173,2.160150243293824,2.040141896444167
1997-07-01,1.22,1.151,2.11924261682243,1.9993838130841124
1997-08-01,1.268,1.165,2.1985132835820895,2.0199274253731345
1997-09-01,1.276,1.16,2.206894243176179,2.006267493796526
1997-10-01,1.242,1.183,2.1427727970297035,2.0409824628712876
1997-11-01,1.216,1.192,2.0992150588235297,2.057783182662539
1997-12-01,1.177,1.166,2.0344076503409796,2.015394494730316
1998-01-01,1.132,1.12,1.9529942079207923,1.9322910891089113
1998-02-01,1.096,1.084,1.8873810500308834,1.8667162940086475
1998-03-01,1.064,1.063,1.828886115906289,1.8271672379778054
1998-04-01,1.077,1.067,1.8478138707692309,1.8306568246153847
1998-05-01,1.105,1.069,1.8923600122850122,1.8307084643734644
1998-06-01,1.103,1.041,1.8866172147239264,1.7805698282208589
1998-07-01,1.094,1.029,1.868930073529412,1.7578876102941177
1998-08-01,1.065,1.007,1.8171611383108934,1.7181983720930232
1998-09-01,1.049,1.024,1.7876729706601469,1.745068753056235
1998-10-01,1.059,1.039,1.8003129146341463,1.7663126707317074
1998-11-01,1.036,1.022,1.7612126341463417,1.7374124634146344
1998-12-01,0.987,0.973,1.6789357779133618,1.655121086028066
1999-01-01,0.98,0.967,1.6629699330493,1.6409101278149725
1999-02-01,0.962,0.959,1.6304408753799393,1.625356340425532
1999-03-01,1.022,0.997,1.726882690909091,1.6846399636363638
1999-04-01,1.171,1.079,1.9643630685920581,1.810032238267148
1999-05-01,1.171,1.073,1.9643630685920581,1.7999671841155236
1999-06-01,1.154,1.074,1.935845415162455,1.8016446931407946
1999-07-01,1.197,1.122,2.0019555728854233,1.876519760047991
1999-08-01,1.26,1.172,2.1022771992818674,1.9554514901256732
1999-09-01,1.295,1.215,2.1503787373436567,2.0175368076235856
1999-10-01,1.285,1.228,2.1299677170035674,2.035486658739596
1999-11-01,1.292,1.263,2.140298181818182,2.09225743315508
1999-12-01,1.313,1.292,2.1750863101604274,2.140298181818182
2000-01-01,1.329,1.356,2.1950702488151657,2.239665355450237
2000-02-01,1.415,1.461,2.32335,2.3988793992932864
2000-03-01,1.556,1.479,2.5339714485981313,2.408575689252337
2000-04-01,1.506,1.422,2.451113905429072,2.3143983887915938
2000-05-01,1.526,1.42,2.480768816326531,2.3084480466472304
2000-06-01,1.666,1.421,2.6942235034802784,2.298014164733179
2000-07-01,1.591,1.434,2.5669790625,2.313669375
2000-08-01,1.506,1.466,2.4298368750000003,2.365299375
2000-09-01,1.588,1.637,2.54886341968912,2.627512227979275
2000-10-01,1.571,1.637,2.5172295517241383,2.622982034482759
2000-11-01,1.557,1.621,2.493364238943136,2.595853199310741
2000-12-01,1.483,1.565,2.3762262413793107,2.5076156896551725
2001-01-01,1.487,1.524,2.3676674700171336,2.426580513992005
2001-02-01,1.49,1.492,2.362997610921502,2.366169419795222
2001-03-01,1.45,1.399,2.2943410896708287,2.2136435754824064
2001-04-01,1.591,1.422,2.507484352741662,2.2411330921424533
2001-05-01,1.738,1.496,2.726831041080473,2.347145706246483
2001-06-01,1.658,1.482,2.5969309887640453,2.3212615955056184
2001-07-01,1.466,1.375,2.3026689126760567,2.1597338028169015
2001-08-01,1.461,1.39,2.294815335211268,2.183294535211268
2001-09-01,1.557,1.495,2.4346310375771174,2.337683623107123
2001-10-01,1.357,1.348,2.1290619808666293,2.1149414518852
2001-11-01,1.212,1.259,1.9047802931228863,1.978645535512965
2001-12-01,1.127,1.167,1.7782108319185062,1.8413239049235997
2002-01-01,1.148,1.153,1.8072540711462453,1.8151253867871262
2002-02-01,1.155,1.152,1.8111153543307086,1.806411158605174
2002-03-01,1.289,1.23,2.009931644295302,1.9179332214765101
2002-04-01,1.439,1.309,2.2313463737486097,2.0297653948832033
2002-05-01,1.434,1.305,2.223593259176863,2.0235629032258062
2002-06-01,1.424,1.286,2.206859633129516,1.9929926181211783
2002-07-01,1.438,1.299,2.2260814880621878,2.0109039311493615
2002-08-01,1.438,1.328,2.21868996126176,2.048970979524073
2002-09-01,1.441,1.411,2.219633602209945,2.173423325966851
2002-10-01,1.486,1.462,2.2851614561500275,2.2482544070601214
2002-11-01,1.461,1.42,2.246716613348042,2.1836670711527852
2002-12-01,1.429,1.429,2.2023662686567165,2.2023662686567165
2003-01-01,1.5,1.488,2.301612548156302,2.2831996477710517
2003-02-01,1.655,1.654,2.52002900054615,2.518506324412889
2003-03-01,1.734,1.708,2.6245530293159613,2.5851998697068406
2003-04-01,1.633,1.533,2.4770602067464638,2.3253725027203482
2003-05-01,1.539,1.451,2.3382903433242506,2.204586931880109
2003-06-01,1.533,1.424,2.3266383560152426,2.1612087534022866
2003-07-01,1.554,1.435,2.355945122349103,2.175534910277325
2003-08-01,1.661,1.487,2.508613878656555,2.245821094257855
2003-09-01,1.721,1.467,2.5908112419006484,2.2084370086393093
2003-10-01,1.606,1.481,2.4203027675675677,2.2319230378378383
2003-11-01,1.555,1.482,2.3497946341463414,2.239482731707317
2003-12-01,1.522,1.49,2.3024234617471513,2.2540150841020075
2004-01-01,1.614,1.551,2.4297323326133915,2.3348914794816418
2004-02-01,1.69,1.582,2.5304800214822776,2.3687688721804516
2004-03-01,1.778,1.629,2.645197203842049,2.4235243223052296
2004-04-01,1.839,1.692,2.727217436170213,2.509218
2004-05-01,2.023,1.746,2.982635885774723,2.5742373982020097
2004-06-01,2.013,1.711,2.9585051449657356,2.5146558882445973
2004-07-01,1.954,1.739,2.8763416473072865,2.559855744456178
2004-08-01,1.92,1.833,2.8248012664907654,2.6968024591029027
2004-09-01,1.912,1.917,2.807105971563981,2.81444672985782
2004-10-01,2.042,2.134,2.9822613095861707,3.116623719224725
2004-11-01,2.023,2.147,2.952965685863875,3.1339680314136125
2004-12-01,1.887,2.009,2.7645789490278507,2.9433169626904885
2005-01-01,1.875,1.959,2.7412362349239645,2.8640436182485582
2005-02-01,1.953,2.027,2.8388962773722626,2.9464632638164754
2005-03-01,2.12,2.214,3.0577353336782207,3.1933141645111225
2005-04-01,2.285,2.292,3.273702826310381,3.2837316752312438
2005-05-01,2.205,2.199,3.1623375000000005,3.1537325000000003
2005-06-01,2.198,2.29,3.150677614395887,3.2825531105398458
2005-07-01,2.333,2.373,3.3287874411463667,3.3858605220061415
2005-08-01,2.529,2.5,3.590072596741344,3.5489052953156826
2005-09-01,2.951,2.819,4.138554839034206,3.9534347987927565
2005-10-01,2.765,3.095,3.8699173192771092,4.331788102409639
2005-11-01,2.303,2.573,3.249397803643725,3.630351953441296
2005-12-01,2.229,2.443,3.1577726524390246,3.4609414939024394
2006-01-01,2.36,2.467,3.318067170953101,3.4685049621785176
2006-02-01,2.326,2.475,3.263681187720182,3.4727476094615004
2006-03-01,2.468,2.559,3.4438605405405407,3.570842432432433
2006-04-01,2.787,2.728,3.8561844863523573,3.774550153846154
2006-05-01,2.953,2.897,4.0656904,3.9885895999999996
2006-06-01,2.93,2.898,4.02607126663381,3.9821005224248402
2006-07-01,3.025,2.934,4.144354054054054,4.019680923832924
2006-08-01,2.999,3.045,4.100672869053458,4.163570819028935
2006-09-01,2.606,2.783,3.5808674815179895,3.824080660423854
2006-10-01,2.293,2.519,3.1679533498513384,3.480189484638256
2006-11-01,2.275,2.545,3.1477645161290324,3.5213453598014888
2006-12-01,2.359,2.61,3.259137353815659,3.605912884043607
2007-01-01,2.289,2.485,3.1528030294047906,3.422767814797249
2007-02-01,2.323,2.488,3.182605545973199,3.4086623324930345
2007-03-01,2.609,2.667,3.542183265807005,3.620928620125443
2007-04-01,2.891,2.834,3.8997154233958757,3.822827225840163
2007-05-01,3.187,2.796,4.272884091772502,3.748661412173177
2007-06-01,3.102,2.808,4.150878340500691,3.757468207648595
2007-07-01,3.011,2.868,4.030133711635679,3.8387324759120305
2007-08-01,2.834,2.869,3.800193673436997,3.8471261993968753
2007-09-01,2.849,2.953,3.8098081346827186,3.9488815099045516
2007-10-01,2.853,3.075,3.807013181069802,4.1032476452119315
2007-11-01,3.128,3.396,4.149324883312637,4.5048297006808555
2007-12-01,3.07,3.341,4.075121122093355,4.434846797691825
2008-01-01,3.095,3.308,4.087986498010233,4.369324502558271
2008-02-01,3.078,3.377,4.053759718082317,4.447545993490573
2008-03-01,3.293,3.881,4.299646819152524,5.067394262110824
2008-04-01,3.507,4.084,4.551461500863502,5.300304753215438
2008-05-01,3.815,4.425,4.909845406034196,5.694905877248051
2008-06-01,4.105,4.677,5.230364508831663,5.959175349039143
2008-07-01,4.114,4.703,5.214450673746613,5.961001827571786
2008-08-01,3.833,4.302,4.877756068393234,5.474590818217503
2008-09-01,3.756,4.024,4.786387936905518,5.127908694916882
2008-10-01,3.112,3.576,4.006186477538752,4.603509911207769
2008-11-01,2.208,2.876,2.897939583382371,3.7746713051665295
2008-12-01,1.745,2.449,2.3141992979051316,3.247836149323591
2009-01-01,1.84,2.292,2.429612537474603,3.026452139071625
2009-02-01,1.975,2.195,2.5949675531238072,2.884027229927472
2009-03-01,2.011,2.092,2.6358584827158236,2.742026825381155
2009-04-01,2.102,2.22,2.7482733258300507,2.9025531795160386
2009-05-01,2.316,2.227,3.019346812808619,2.9033183731108787
2009-06-01,2.681,2.529,3.465426147348315,3.268952900650462
2009-07-01,2.582,2.54,3.3427602565114625,3.2883853801468304
2009-08-01,2.67,2.634,3.4489530843147973,3.402450346099317
2009-09-01,2.609,2.626,3.3680501275646044,3.3899960272076086
2009-10-01,2.605,2.672,3.359650702896238,3.4460601451588286
2009-11-01,2.706,2.792,3.4874414644293443,3.598276632921925
2009-12-01,2.663,2.745,3.4380790186571826,3.5439455149132435
2010-01-01,2.769,2.845,3.562755209126528,3.660541195364743
2010-02-01,2.699,2.785,3.4718239650089275,3.582448959818401
2010-03-01,2.824,2.915,3.6177605580087393,3.734338536329843
